time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-31T23:39:28.940Z,-7.0711,129.8517,113.43,4.6,mb,,69,1.696,0.75,us,us10004anb,2016-02-05T23:09:38.040Z,"188km WNW of Saumlaki, Indonesia",earthquake,7.3,7,0.08,47,reviewed,us,us
2015-12-31T23:35:07.790Z,51.6156,-173.5178,39.66,3.6,mb,,199,0.722,0.72,us,us10004bv9,2016-01-16T05:32:33.163Z,"79km SE of Atka, Alaska",earthquake,6.2,10.9,0.151,11,reviewed,us,us
2015-12-31T23:25:03.900Z,-15.0436,167.1007,30.43,4.6,mb,,118,0.413,0.61,us,us10004bv6,2016-01-18T02:47:42.549Z,"5km E of Port-Olry, Vanuatu",earthquake,12.8,2.6,0.173,10,reviewed,us,us
2015-12-31T23:15:15.690Z,-5.5171,-11.4809,10,4.6,mb,,99,11.804,0.58,us,us10004bv7,2016-01-18T02:53:59.774Z,"Ascension Island region",earthquake,7.8,1.9,0.158,12,reviewed,us,us
2015-12-31T23:12:39.270Z,36.7583,-97.7866,5.3,3.3,mb_lg,,42,0.058,0.2,us,us10004an4,2016-01-16T03:33:07.361Z,"7km SW of Medford, Oklahoma",earthquake,0.9,5.3,0.18,8,reviewed,us,us
2015-12-31T23:11:29.610Z,42.2794,133.2124,472.56,4,mb,,38,2.117,0.66,us,us10004an6,2016-01-15T06:24:36.126Z,"51km SSE of Vrangel', Russia",earthquake,11.2,9.5,0.071,53,reviewed,us,us
2015-12-31T22:32:23.580Z,-6.0183,147.7076,47.84,4.1,mb,,182,3.408,0.39,us,us10004bv4,2016-01-18T02:34:20.808Z,"66km NNW of Finschhafen, Papua New Guinea",earthquake,13,18.9,0.174,9,reviewed,us,us
2015-12-31T22:22:17.350Z,51.6783,-173.489,39.85,5,mb,,135,0.683,0.82,us,us10004amq,2016-01-15T02:55:40.103Z,"75km SE of Atka, Alaska",earthquake,5.4,6.2,0.027,423,reviewed,us,us
2015-12-31T22:15:58.410Z,40.8895,72.5413,48.21,4.5,mb,,67,1.513,0.89,us,us10004amk,2016-01-15T02:33:34.039Z,"20km NE of Andijon, Uzbekistan",earthquake,5.4,8.4,0.08,46,reviewed,us,us
2015-12-31T21:54:15.450Z,37.395,72.1566,219.41,4.1,mb,,123,0.417,0.55,us,us10004amh,2016-01-16T04:34:19.991Z,"33km ENE of Roshtqal'a, Tajikistan",earthquake,7.8,6.2,0.261,4,reviewed,us,us
2015-12-31T21:51:11.940Z,-7.285,68.0275,10,4.9,mb,,107,4.39,0.5,us,us10004amv,2016-01-15T03:00:28.102Z,"Chagos Archipelago region",earthquake,10.4,1.9,0.065,74,reviewed,us,us
